x1,x2,x3,x4,x5,x6,y
-2.83564,0.28815,0.3791,0,1.68625,-0.84788,-8.8327
1.65601,2.35642,1.2427,0,3.31516,-1.5108,4.32328
1.82489,-0.39488,0.88582,0,0.54643,-0.16226,0.59453
-2.89028,-0.27646,-0.22781,1,1.66862,0.72427,-13.47937
2.18614,0.65358,0.75579,1,2.1964,1.14781,5.3974
-1.46992,0.78741,0.69157,1,0.47585,-0.3598,-1.67523
-0.4711,2.57459,2.07017,0,1.39337,2.74574,1.95935
-1.32361,0.42434,-0.30044,1,0.13614,-0.48308,-0.5196
2.64558,0.68989,1.51098,0,4.98218,-0.11829,3.34109
2.23875,1.03357,-0.35472,0,1.71678,0.07281,2.36088
-1.84544,-1.35158,-1.28763,1,2.36836,-1.06686,-7.81683
-1.41578,0.34143,1.21906,0,4.76246,1.58145,-2.85335
-1.62051,0.278,0.61444,0,2.55814,1.70067,-3.70739
-2.93172,0.16278,0.71593,1,1.93896,1.4283,-7.69282
-0.09772,-2.32774,-2.11461,1,4.13396,0.34383,-4.79744
-0.4275,2.0948,1.8914,0,1.37463,-0.33985,0.85053
-1.32625,-2.10835,-0.71572,1,3.02896,0.72376,-4.84643
0.62831,0.05783,0.78817,1,3.08745,-2.63284,4.61741
-0.54428,1.24948,0.85042,0,1.25705,0.8559,-0.40861
-2.87137,1.03626,0.91909,0,0.28395,0.99106,-10.55995
-2.93946,1.19142,0.30951,1,3.50253,-0.9404,-8.22403
-1.25578,-1.58382,-1.22643,0,1.62304,-0.70711,-1.74293
-1.65981,2.14986,1.75806,1,0.67983,0.12224,0.04097
-2.36554,0.47086,-1.06091,0,2.0701,-1.88119,-10.5746
0.3464,-2.7009,-0.8015,0,4.48529,0.54755,0.23337
0.16272,-0.28911,-0.54667,1,3.79617,-0.04133,-0.20086
-2.54698,-0.26823,-0.10082,1,4.59126,-0.00077,-10.06396
2.96662,0.08154,0.55551,0,3.31505,-0.51609,0.9478
1.19097,0.04297,0.25243,1,0.19588,-1.63215,-14.03171
2.56828,0.02379,0.6957,1,0.36324,0.12279,2.48166
1.82151,0.19615,0.14153,0,4.90946,-0.46652,3.79241
0.91195,-0.12791,-1.03445,0,4.43674,-1.10969,2.5372
-1.60535,-2.28835,-2.44668,0,1.6662,-0.74308,-4.65125
